spmrl,prefix,pos,features,suffix
TOINFINITIVE,,,VerbType=Toinfinitive,
MF,,,"Gender=Fem,Masc",
F,,,Gender=Fem,
M,,,Gender=Masc,
S,,,Number=Sing,
P,,,Number=Plur,
D,,,Number=Dual,
1,,,Person=1,
2,,,Person=2,
3,,,Person=3,
A,,,"Person=1,2,3",
DEF:,H_,,,
NEGATIVE,,,Polarity=Neg,
NEG,,,Polarity=Neg,
POSITIVE,,,Polarity=Pos,
PAST,,,Tense=Past,
PRESENT,,,Tense=Pres,
FUTURE,,,Tense=Fut,
IMPERATIVE,,,Mood=Imp,
BEINONI,,,VerbForm=Part,
DEM,,,PronType=Dem,
IMP,,,PronType=Imp,
PERS,,,PronType=Prs,
REF,,,PronType=Prs|Reflex=Yes,
AT,,ADP,Case=Acc,
BN,,VERB,VerbForm=Part,
BNT,,VERB,Definite=Cons|VerbForm=Part,
CC,,CCONJ,,
CC-SUB,,SCONJ,,
CC-COORD,,CCONJ,,
CC-REL,,SCONJ,,
CD,,NUM,,
CDT,,NUM,Definite=Cons,
COP,,AUX,VerbType=Cop,
DT,,DET,Definite=Cons,
DTT,,DET,Definite=Cons,
EX,,VERB,HebExistential=True,
IN,,ADP,,
INTJ,,INTJ,,
JJ,,ADJ,,
JJT,,ADJ,Definite=Cons,
MD,,AUX,VerbType=Mod,
NEG,,ADV,Polarity=Neg,
NN,,NOUN,,
NNP,,PROPN,,
NNT,,NOUN,Definite=Cons,
NNPT,,PROPN,Abbr=Yes,
P,,ADV,Prefix=Yes,
POS,,ADP,Case=Gen,
PRP,,PRON,,
QW,,ADV,PronType=Int,
RB,,ADV,,
TTL,,NOUN,Title=Yes,
VB,,VERB,,
UNK,,X,,
NIFAL,,,HebBinyan=NIFAL,
PUAL,,,HebBinyan=PUAL,
HUFAL,,,HebBinyan=HUFAL,
HITPAEL,,,HebBinyan=HITPAEL,
HIFIL,,,HebBinyan=HIFIL,
PIEL,,,HebBinyan=PIEL,
PAAL,,,HebBinyan=PAAL,
,,,,
S_ANP-F-S-2,,,,"SuffixType=Acc,Fem,Sing,2"
S_ANP-F-S-3,,,,"SuffixType=Acc,Fem,Sing,3"
S_ANP-F-P-1,,,,"SuffixType=Acc,Fem,Plur,1"
S_ANP-F-P-2,,,,"SuffixType=Acc,Fem,Plur,2"
S_ANP-F-P-3,,,,"SuffixType=Acc,Fem,Plur,3"
S_ANP-MF-S-1,,,,"SuffixType=Acc,Fem,Masc,Sing,1"
S_ANP-MF-S-2,,,,"SuffixType=Acc,Fem,Masc,Sing,2"
S_ANP-MF-S-3,,,,"SuffixType=Acc,Fem,Masc,Sing,3"
S_ANP-MF-P-1,,,,"SuffixType=Acc,Fem,Masc,Plur,1"
S_ANP-MF-P-2,,,,"SuffixType=Acc,Fem,Masc,Plur,2"
S_ANP-MF-P-3,,,,"SuffixType=Acc,Fem,Masc,Plur,3"
,,,,
S_ANP-M-S-2,,,,"SuffixType=Acc,Masc,Sing,2"
S_ANP-M-S-3,,,,"SuffixType=Acc,Masc,Sing,3"
S_ANP-M-P-1,,,,"SuffixType=Acc,Masc,Plur,1"
S_ANP-M-P-2,,,,"SuffixType=Acc,Masc,Plur,2"
S_ANP-M-P-3,,,,"SuffixType=Acc,Masc,Plur,3"
S_PP-F-S-2,,,Definite=Def,"SuffixType=Pos,Fem,Sing,1"
S_PP-F-S-2,,,Definite=Def,"SuffixType=Pos,Fem,Sing,2"
S_PP-F-S-3,,,Definite=Def,"SuffixType=Pos,Fem,Sing,3"
S_PP-F-P-1,,,Definite=Def,"SuffixType=Pos,Fem,Plur,1"
S_PP-F-P-2,,,Definite=Def,"SuffixType=Pos,Fem,Plur,2"
S_PP-F-P-3,,,Definite=Def,"SuffixType=Pos,Fem,Plur,3"
S_PP-M-S-1,,,Definite=Def,"SuffixType=Pos,Masc,Sing,1"
S_PP-M-S-2,,,Definite=Def,"SuffixType=Pos,Masc,Sing,2"
S_PP-M-S-3,,,Definite=Def,"SuffixType=Pos,Masc,Sing,3"
S_PP-M-P-1,,,Definite=Def,"SuffixType=Pos,Masc,Plur,1"
S_PP-M-P-2,,,Definite=Def,"SuffixType=Pos,Masc,Plur,2"
S_PP-M-P-3,,,Definite=Def,"SuffixType=Pos,Masc,Plur,3"
S_PP-MF-S-2,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Sing,1"
S_PP-MF-S-2,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Sing,2"
S_PP-MF-S-3,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Sing,3"
S_PP-MF-P-1,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Plur,1"
S_PP-MF-P-2,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Plur,2"
S_PP-MF-P-3,,,Definite=Def,"SuffixType=Pos,Fem,Masc,Plur,3"